sha256,filename,page_no,method,char_count
e57851a33e54268842152da4e29e10db2b5a93b3027b3873068baf12a909fd32,HOA fee 453.xlsx,1,xlsx,1124
bc4fc2ca587730feba40e0ee816d8cb1a1c6f6a617102ecff7e407807e02bba3,IPA Receivable (2).xlsx,1,xlsx,1166
1edee6212e504915ba494db6c8974e26b2ea611e0befaad3e63541d9b63c68f8,Request for Information and Documents (Mango v. IPA).xlsx,1,xlsx,951
ea98dfaea9bdc65a7755775ba3a17e39aa5e30343c7a79113ab985d9e6387b8b,Request for Information and Documents (Mango v. IPA).xlsx,1,xlsx,1197
3901bdfab8842b6f358d414ab91662fee526858ea57d2f6eae028309e4ca8875,4832-3770-0572 1 OTSC - Damage Calculation.xlsx,1,xlsx,337
4c6032615ac2620bf3738c85a019d02d3b8846558c0a4a15bab69fc015a5e5b3,4832-3770-0572 1 OTSC - Damage Calculation.xlsx,1,xlsx,366
3bed5e602dbc782fabe310005a2b801e14dd9a6808d09d2f7ac5affd4043c38e,Supporting documetns for 6 Valentine selection.xlsx,1,xlsx,1321
8c0f3d8fb22478d5d99de62adebc8396ecb0783514908bdbb7d3e59d6df42512,Job Ledger Lynn 2458 Florin Ct Bellmore.xlsx,1,xlsx,4212
fd910883439d15143d1eeb4a17b853706e8c5ee7b09f7eacca71cd54dc454e2c,"225 Ruby Rd, Kingston Parcels Closing Statement     Mangotree
  .xlsx",1,xlsx,1512
b8bea7e448d6601e44a15893ccd0159b88c2a7917dd5cef0a43c9f246ef7407b,"4832-4013-8978 1 Exhibit - OTSC (Amount Spent and Identify of Owner
 of Property).xlsx",1,xlsx,2122
1757c37860af4a38d1066056fdce994b895bf6a786ebaadfe03b2502ff6f6c14,Document1.docx,1,docx,1128
624b00c0fcfadd0f7a4f736556bc10eecdbcdb5e9e7ba21d017229061df2ecde,MangoTree rent-roll 2021.xlsx,1,xlsx,5462
14199ad71975c23c4cfeb23f25f01dbcd7bc54a636c8560966bab640848e31ac,"Copy of Mangotree Property Expenses June 2020 through Aug
 2021.xlsx",1,xlsx,1429
fcf8640475ed8c6f881a8de88c04e3f32d1da1f4b572728c2c41aeedc5cce6a0,"4873-5514-4511 1 4861-2487-9935 1 Terms of Promissory Note
 (005).docx",1,docx,1428
6a2abf006beec2673d0c67565791d0f78974998d8ca1f1816ac9f59af1331dd8,Master Settlement Reconciliation File.xlsx,1,xlsx,5399
3974cd30c247229f3853d0ccc6dba30e3e0925bcaf2ea6b2f3aad381bee19565,Book1.xlsx,1,xlsx,11271
2ef067dc3cde31504fb41399edbef9b8b227e3d274c3a6c0e7ada505b794d80a,MOU Issues.docx,1,docx,5558
21410c8946015c6119356df49f94adac402d28bfd42a435a27210ae1259193bd,4826-6118-1914 1 Property List.xlsx,1,xlsx,4746
c8dae9e2653ea0f6d5c9ad81cf382f4e92c0c028330a0351030fba8b9651244d,Progress report from 2nd quarter ACM as of Sept 24 - 2019.docx,1,docx,3761
8eae9d3a0cad06aa6b6f8fb79847b062773f27864fff29aa41ec3ee2fa369600,4826-6118-1914 1 Property List.xlsx,1,xlsx,4746
