pst_entry_id,subject,date,missing_file,size
aafund:<5B2C4B2B35A620419E5FD3933D233B309EEC871870@server01.ipellc.net>,RE: CPA,2012-04-20,image001.png,3378
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E9767F@server01.ipellc.net>,"FW: Message from ""RNP2BD93A""",2012-04-25,20120424153418658.pdf,202159
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E9767F@server01.ipellc.net>,"FW: Message from ""RNP2BD93A""",2012-04-25,"66 Chanel Dr E, Shirley        Closing Statement.xlsx",23924
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E9767F@server01.ipellc.net>,"FW: Message from ""RNP2BD93A""",2012-04-25,20120424153036349.pdf,3293518
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E9768E@server01.ipellc.net>,"FW: 66 Chanel Dr E, Shirley",2012-04-25,20120424154024643.pdf,2600580
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E97C7E@server01.ipellc.net>,FW: Response Australia Fund,2012-05-23,Flipping properties in Long Island Metro New York Area.docx,16610
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E97E88@server01.ipellc.net>,RE: 91-15 164th Avenue; Howard Beach,2012-06-01,image001.png,24388
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF0E981F0@server01.ipellc.net>,RE: 46 Chateau Drive Manorville,2012-06-15,image001.gif,2650
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF1184EA6@server01.ipellc.net>,RE: FW: 46 chateau,2012-07-27,image002.gif,31851
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF1184EA6@server01.ipellc.net>,RE: FW: 46 chateau,2012-07-27,image001.gif,2650
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF1184A89@server01.ipellc.net>,"RE: buonanotte v. buonanotte foreclosure    46 Chateau Drive
 Manorville",2012-07-03,image001.gif,2650
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF1185216@server01.ipellc.net>,RE: Vijay Alreja - X Ray Machine Manufacturer,2012-08-14,image001.jpg,2646
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF118528D@server01.ipellc.net>,RE: 2nd response,2012-08-16,image001.jpg,2646
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF11854D2@server01.ipellc.net>,3 Forest purchase,2012-08-27,wiring instructions.JOSIE.doc,25600
aafund:<5B2C4B2B35A620419E5FD3933D233B309EF118552A@server01.ipellc.net>,RE: Fax,2012-08-28,image001.jpg,4400
aafund:<5B2C4B2B35A620419E5FD3933D233B309EFC1C3CC3@server01.ipellc.net>,RE: UL to USA,2012-09-22,image002.jpg,5675
aafund:<5B2C4B2B35A620419E5FD3933D233B309EFC1C3CC3@server01.ipellc.net>,RE: UL to USA,2012-09-22,image001.jpg,1709
aafund:<mm8x9vpc5h14f2vj3wxvtyqb.1358958384280@email.android.com>,FW:,2013-01-23,WIREINSTRUCTIONS (2).pdf,15789
aafund:<5B2C4B2B35A620419E5FD3933D233B30D32751D357@server01.ipellc.net>,W9 BayCarpet,2013-02-01,FAX_20130201_1359748186_15.pdf - Adobe Acrobat Pro.pdf,57994
aafund:<5B2C4B2B35A620419E5FD3933D233B30D32751D344@server01.ipellc.net>,FW: Golden Rock W9,2013-02-01,FAX_20130201_1359742586_16.pdf,43795
aafund:<5B2C4B2B35A620419E5FD3933D233B300139EF459573@server01.ipellc.net>,"RE: 4035 Greentree, Oceanside, NY",2014-04-07,image001.jpg,4199
aafund:<8346945E0B95AC4A872D7F4AA7DB1D3840F07A6D56@server01.ipellc.net>,Package of 20 Properties Settlement Sheet   MT.xls,2014-12-19,Package of 20 Properties Settlement Sheet   MT.xls,26624
aafund:<8346945E0B95AC4A872D7F4AA7DB1D3840F07A6E09@server01.ipellc.net>,Group Mortgage Purchase Settlement Sheet,2014-12-29,Group Mortgage Purchase Settlement Sheet   MT.xls,26112
aafund:<8346945E0B95AC4A872D7F4AA7DB1D384993135E9C@server01.ipellc.net>,Fwd: IP-001-a.pdf,2015-01-26,IP-001-a.pdf,909226
aafund:<8346945E0B95AC4A872D7F4AA7DB1D384993134E2F@server01.ipellc.net>,2347 7th St E Meadow Settlement Sheet   MT.xls,2015-01-09,2347 7th St E Meadow Settlement Sheet   MT.xls,28672
aafund:<8346945E0B95AC4A872D7F4AA7DB1D384993121488@server01.ipellc.net>,"IPL # 95589 - 625 Derby Dr East, Oceanside, NY",2015-01-06,20150106112850639.pdf,91265
aafund:<8346945E0B95AC4A872D7F4AA7DB1D3849931213ED@server01.ipellc.net>,FW: Package of 20 Properties Settlement Sheet   MT.xls,2015-01-05,Package of 20 Properties Settlement Sheet   MT.xls,26624
aafund:<8346945E0B95AC4A872D7F4AA7DB1D387DC1E5A14A@server01.ipellc.net>,FW: 34 Property Package Settlement Sheet #4   MT.xls,2015-03-11,34 Property Package Settlement Sheet #4   MT.xls,26624
aafund:<8346945E0B95AC4A872D7F4AA7DB1D387DC1EA5D54@server01.ipellc.net>,34 Property Package Settlement Sheet #4   MT.xls,2015-03-11,34 Property Package Settlement Sheet #4   MT.xls,26624
aafund:<MN2PR07MB7198F1AEEFAA79307BC962C0CF790@MN2PR07MB7198.namprd07.prod.outlook.com>,FW: Opportunity Zone wire request,2019-11-06,Estimate_2118_from_Greenway_of_Nashville_LLC.pdf,117797
aafund:<MN2PR07MB7198699496B152B3B244360CCF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,FW: Opportunity Zone wire request,2019-11-05,Estimate_2118_from_Greenway_of_Nashville_LLC.pdf,78167
aafund:<MN2PR07MB71986F9CE1FC72BCC524429CCF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,Opportunity Zone wire request,2019-11-05,Estimate_2118_from_Greenway_of_Nashville_LLC.pdf,78167
aafund:<MN2PR07MB71986D4E755DA6184F7A6EDECF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,Opportunity Zone Tax bills due 2/29/20,2019-11-05,20191105134120871.pdf,6569192
aafund:<MN2PR07MB7198916FBCDF671F7745405CCF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,Check requests,2019-11-05,20191105124441723.pdf,469710
aafund:<MN2PR07MB7198916FBCDF671F7745405CCF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,Check requests,2019-11-05,20191105124505333.pdf,469710
aafund:<MN2PR07MB7198CD9D5BD1D5D8DCD94F38CF7E0@MN2PR07MB7198.namprd07.prod.outlook.com>,5161 Granny White Pike tax bill due 2/29/20,2019-11-05,20191105134232148.pdf,938900
aafund:<MN2PR07MB622190CE8FD2B4B0D660A003CF7B9@MN2PR07MB6221.namprd07.prod.outlook.com>,"20 Whitman Ave, Islip",2021-12-20,"20 Whitman Ave, Islip, NY 11751.pdf",69357
aafund:<MN2PR07MB6221DB956D68F62C0F957BBFCF789@MN2PR07MB6221.namprd07.prod.outlook.com>,"170 W Tiana Rd, Hampton Bays",2021-12-17,"170 W Tiana Rd, Hampton Bays, NY 11946.pdf",31150
